Name,Address,Latitude,Longitude
Cement Plant Zlatna Panega,"Shipka str. 2,Zlatna Panega,5760,Bulgaria",43.1014,24.0935
Cement Plant Zlatna Panega,"Shipka str. 2,Zlatna Panega,5760,Bulgaria",43.1014,24.0935
Antea Cement Plant,"Borizane,Kruje,Albania",41.5167,19.7833
TITAN Cementara Kosjeric,"Zivojina Misica 50,Kosjeric,31260,Serbia",44.0019,19.9137
Cement Plant Usje,"blvd. Boris Trajkovski 94,Skopje,1000,North Macedonia",41.9981,21.4254
Cement Plant Sharrcem,"280 Adem Jashari,Hani i Elezit,71510,Kosovo",42.1503,21.2975
Beni Suef,"Benisuef,Egypt",29.0731,31.0982
Alexandria Plant,"583 El Moaskar St.,El max,Alexandria,Egypt",31.1667,29.8833
Artova Cement,"Kizilca Mahallesi,Tokat,60670,Turkey",40.051,36.443
SultankΓ¶y,"Sultankoy,Marmaraereglisi,Tekirdag,59740,Turkey",40.9667,27.9667
White Rock North Agg Plant,"18300 NW 122nd Avenue,Hialeah,FL,33018,USA",25.9012,-80.3233
Stewart Mining Sand,"2301 Edwards Grove Rd,Immokalee,FL,34142,USA",26.4187,-81.4198
Stewart Mining Ft. Pierce,"13525 Indrio Rd,Fort Pierce,FL,34945,USA",27.48,-80.37
Stewart Mining Moore Haven,"1445 Lykes Road,Moore Haven,FL,33471,USA",26.8317,-81.0834
Lehigh Cement Terminal,"675 Quaker Hill Rd,Union Bridge,MD,21791,USA",39.5768,-77.1755
Central Offices Titan Internat,"Nicosia,Cyprus",35.1856,33.3823
Central Offices Titan Greece,"Halkidos Str. 22A,Athens,11143,Greece",38.02,23.744
Central Offices Interbeton,"Chalkidos Str. 22A,Athens,11143,Greece",38.02,23.744
RMC Offices Volos,"Borel 8,Volos,38333,Greece",39.3666,22.9333
Tithys,"Nicosia,Cyprus",35.1856,33.3823
Titan Group Finance,"12 Shed K. George Dock,Hull,HU9 5PR,UK",53.7457,-0.3367
Intertitan Emporiki Diethnis,"Halkidos 22A,Athens,11143,Greece",38.02,23.744
Titan Atlantic Cement Industr,"Halkidos 22A,Athens,11143,Greece",38.02,23.744
BUSINESS PARK TITAN ELEFSINAS,"Halkidos 22A,Athens,11143,Greece",38.02,23.744
Central Offices Intermix,"Halkidos Str. 22A,Athens,11143,Greece",38.02,23.744
Deerfield Beach,"800 Fairway Drive,Deerfield Beach,FL,33441,USA",26.3184,-80.0998
Corporate Office,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
TMA Office,"188 Summerfield,Roanoke,VA,24019,USA",37.3215,-79.9414
S&W Administrative Office,"217 Lisbon Street,Clinton,NC,28328,USA",34.9979,-78.3244
Home Office,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
ST Office,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
Administrative Office,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
Home Office,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
Home Office,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
Corporate PCC,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
Carolinas Cement Company,"4312 Henson Dr,Wilmington,NC,28405,USA",34.2414,-77.8959
Corporate Markfield,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
Corporate Receivables,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
STET Trading,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
Titan Mid-Atlantic,"5700 Lake Wright Dr,Norfolk,VA,23502,USA",36.8969,-76.191
Keystone Cement Head Office,"6507 Nor Bath Blvd,Bath,PA,18014,USA",40.7279,-75.3879
Central Offices Zlatna Panega,"Cherni vrah bul. 33E,Sofia,Bulgaria",42.655,23.2956
Central Offices GSBP,"Cherni vrah bul. 33E,Sofia,Bulgaria",42.655,23.2956
Central Offices Zlatna Panega,"Cherni vrah bul. 33E,Sofia,Bulgaria",42.655,23.2956
Central Offices GSBP,"Cherni vrah bul. 33E,Sofia,Bulgaria",42.655,23.2956
Central Offices ANTEA,"Rruga e Durresit,Tirane,Albania",41.3317,19.8317
Central Offices Usje,"blvd. Boris Trajkovski 94,Skopje,1000,North Macedonia",41.9981,21.4254
Central Offices Sharrcem,"280 Adem Jashari,Hani i Elezit,71510,Kosovo",42.1503,21.2975
Central Offices Cement Plus,"22A Magjist. Prishtine,Graqanica,Kosovo",42.5997,21.1917
Central Offices TCK Montenegro,"65A Josipa Broza Tita,Podgorica,81000,Montenegro",42.4304,19.2594
Beni Suef HQ,"Mivida Business Park,Cairo,11835,Egypt",30.0071,31.4795
Alexandria HQ,"50 Mivida Business Park,Cairo,Egypt",30.0071,31.4795
Titan Beton RMC HQ,"Mivida Business Park,Cairo,11835,Egypt",30.0071,31.4795
GAEA HQ,"Mivida Business Park,Cairo,11835,Egypt",30.0071,31.4795
Adocim HQ,"Maslak Mah Dereboyu Cad,Istanbul,34398,Turkey",41.1085,29.0179
Adocim Marmara HQ,"Esentepe Mahallesi,Istanbul,34398,Turkey",41.1085,29.0179
Mine Milos Pozzolan,"Xylokeratia,Milos,84800,Greece",36.7261,24.4417
Needham Technical Center,"101 Hampton Ave,Needham Heights,MA,02494,USA",42.2982,-71.2397
Needham N202,"101 Hampton Ave,Needham Heights,MA,02494,USA",42.2982,-71.2397
Quarry Volos,"Thesi Ovria Velestinou,Volos,37500,Greece",39.3666,22.9333
TO BE DELETED (Quarry Drepano),"Thesi Artimes,Drepano Achaias,Patra,Greece",38.11,21.72
Quarry Drimos (INTERBETON),"Thesi Nteve Karan,Oraiokastro,57200,Greece",40.7267,22.9036
Quarry LATEM-Polidendri,"35 km Athinon-Markopoulou,Polydendri,19014,Greece",38.1614,23.8147
Quarry Tagarades,"2km EO Scholariou,Thermi,Thessaloniki,57500,Greece",40.5434,22.9714
Quarry Xirorema (INTERBETON),"Thesi Xirorema,Aspropyrgos,19300,Greece",38.0589,23.5956
Quarry Xirorema (TITAN),"Thesi Xirorema,Aspropyrgos,19300,Greece",38.0589,23.5956
Quarry Tanagras,"Thesi Grava,Tanagra,32009,Greece",38.32,23.53
Aggregates Materials Kalamata,"Kalamata,24150,Greece",37.042,22.1145
Quarry Monolofou,"Chalkidos Str. 22A,Athens,11143,Greece",38.02,23.744
Quarry Standard Ypodomon,"Vachos,Heraklion Crete,70300,Greece",35.05,25.4
Quarry Thisvi (TITAN),"Thisvi Voiotias,Thiva,32010,Greece",38.3249,23.06
Pennsuco Aggregate Plant,"11000 NW 121 Way,Medley,FL,33178,USA",25.8201,-80.3442
Center Sand Quarry,"16375 Hartwood Marsh Rd,Clermont,FL,34711,USA",28.5016,-81.7047
Corkscrew Aggregates,"21751 Corkscrew Road,Estero,FL,33928,USA",26.4384,-81.8068
Aggregates Crushed Recycle,"11000 NW 121 Way,Medley,FL,33178,USA",25.8201,-80.3442
Heard Aggregates Plant,"25230 Sussex Dr,Waverly,VA,23890,USA",37.0354,-77.1017
Castle Sands Plant,"1394 Sand Plant Rd,New Castle,VA,24127,USA",37.499,-80.1139
Branchville Sand,"12390 Whitehead Road,Branchville,VA,23828,USA",36.5648,-77.2664
Concr Crushing Srv-MobilePlant,"25230 Sussex Dr,Waverly,VA,23890,USA",37.0354,-77.1017
"D. M. Conner, Inc.","100 Lake Road,Stuarts Draft,VA,24477,USA",38.0159,-79.0286
TMAA Troutville Plant,"6071 Catawba Road,Troutville,VA,24175,USA",37.3928,-79.8784
D. M. CONNER,"100 Lake Rd,Stuarts Draft,VA,24477,USA",38.0159,-79.0286
Pozzolan Quarry Spancevo,"ASNOM BB,Kocani,23000,North Macedonia",41.9167,22.4
Elsaff Clay Quarry,"Giza,Egypt",29.95,30.75
Wadi El Natrun Quarry,"Wadi El Natrun,Alexandria,Egypt",30.4,30.3333
Elsaff Clay Quarry,"Giza,Egypt",29.95,30.75
Alexandria Gharbaniat,"Alexandria,Egypt",31.2001,29.9187
Vezirhan Pozzalona Quarry,"Vezirhan Beldesi,Bilecik,11130,Turkey",40.2,29.95
Gypsum Quarry,"Bedirli Koyu,Sivas,58000,Turkey",39.7477,37.0179
RMC Unit Antimachia,"Antimachia,Kos,85302,Greece",36.8373,27.1
RMC Unit Gennadios Rhodes,"Gennadio Rhodes,85109,Greece",36.05,27.95
RMC Unit Koskinou Rhodes,"Koskinou,Ialissos Rhodes,85100,Greece",36.38,28.24
RMC Unit Kalathos Rhodes,"Kalathos Lindos,Rhodes,85102,Greece",36.15,28.1
RMC Unit Kassandrinou,"Kassandrino,Chalkidiki,63077,Greece",40.1667,23.3667
RMC Unit Neochorouda,"12km Old National Road,Neochorouda,54500,Greece",40.67,22.95
RMC Unit N.Flogita,"N. Flogita,Chalkidiki,63200,Greece",40.3167,23.3333
RMC Unit Volos,"Ovria Velestinou,Volos,37500,Greece",39.3666,22.9333
RMC Unit Heraklion,"Industrial Area Heraklion Crete,71601,Greece",35.3387,25.1442
RMC Unit Thermi,"Ind. Area Thermi,Thessaloniki,57001,Greece",40.5434,22.9714
RMC Unit Xilokastro,"Kamari Xilokastro,Xilokastro,20400,Greece",38.0664,22.6424
RMC Unit Zakinthos,"Thesi Kalamaki,Zakinthos,29100,Greece",37.7908,20.8927
RMC Unit Therianou,"Skala Therianou Vrahneikon,Patra,25002,Greece",38.22,21.8
RMC Unit Elliniko,"Elliniko,Athens,16777,Greece",37.8933,23.7361
RMC Unit Kalamata,"Kalamata Industrial Area,Kalamata,24150,Greece",37.042,22.1145
RMC Skouries,"Megali Panagia,Chalkidiki,63074,Greece",40.5,23.7167
RMC Standard Ypodomon,"Vachos,Heraklion Crete,Greece",35.05,25.4
RMC Unit AIA,"Athens International Airport,Spata,19019,Greece",37.9367,23.9445
Cocoa RMC Plant,"445 Cidco Road,Cocoa,FL,32926,USA",28.3861,-80.742
Melbourne RMC Plant,"2575 N Avocado Ave,Melbourne,FL,32935,USA",28.0836,-80.6081
Okeechobee RMC Plant,"710 NE 3rd Ave,Okeechobee,FL,34972,USA",27.2436,-80.8298
Stuart RMC Plant,"1501 Monterey Rd Extension,Stuart,FL,34994,USA",27.1975,-80.2528
Vero Beach RMC Plant,"2725 Industrial Blvd,Vero Beach,FL,32960,USA",27.6386,-80.3973
Ft Pierce RMC Plant,"4199 Selvitz Road,Fort Pierce,FL,34981,USA",27.4467,-80.3256
Portable Cemco 275 3D 13340218,"5550 Central Control Road,Cape Canaveral,FL,32920,USA",28.4072,-80.6037
CEN EC Portable RMC Plant,"1068 FL-401,Cape Canaveral,FL,32920,USA",28.4072,-80.6037
Deland RMC Plant,"407 N Spring Garden Ave,Deland,FL,32720,USA",29.0283,-81.3029
Eastport Road RMC Plant,"1220 Eastport Road,Jacksonville,FL,32218,USA",30.4067,-81.6234
Edgewater RMC Plant,"200 N Flagler,Edgewater,FL,32132,USA",28.9864,-80.8992
Greenland Road RMC Plant,"6557 Greenland Road,Jacksonville,FL,32258,USA",30.2041,-81.5949
St Augustine RMC Plant,"154 Concourse Drive,Elkton,FL,32033,USA",29.7834,-81.4151
McDuff RMC Plant,"1712 McDuff Ave N,Jacksonville,FL,32254,USA",30.3322,-81.6957
Bunnell RMC Plant,"1701 N. State St.,Bunnell,FL,32110,USA",29.4659,-81.2565
Green Cove RMC Plant,"4866 Sediment Ct.,Green Cove Springs,FL,32043,USA",29.992,-81.6832
Delray Beach RMC Plant,"1300 S Swinton Ave,Delray Beach,FL,33444,USA",26.4615,-80.0728
Mangonia RMC Plant,"1453 53rd Street,Mangonia Park,FL,33407,USA",26.7607,-80.0698
Fairgrounds RMC Plant,"9151 Weisman Way,Royal Palm Beach,FL,33411,USA",26.7106,-80.2287
Buena Vista RMC Plant,"1801 NW Miami Ct,Miami,FL,33136,USA",25.794,-80.2055
Ft Lauderdale RMC Plant,"2500 SW 2nd Ave,Fort Lauderdale,FL,33315,USA",26.1224,-80.1373
North Miami RMC Plant,"290 NW 171st Street,North Miami,FL,33169,USA",25.9427,-80.2192
Pennsuco RMC Plant,"11955 NW 102nd Road,Medley,FL,33178,USA",25.8288,-80.3556
Pompano RMC Plant,"1385 Hammondville Road,Pompano Beach,FL,33069,USA",26.2378,-80.1248
South Miami RMC Plant,"7355 SW 48th Street,Miami,FL,33155,USA",25.735,-80.3174
TC MD Portable RMC Plant,"380 N Seaboard Rd,Miami,FL,33169,USA",25.9427,-80.2192
Longwood RMC Plant,"1450 S Ronald Reagan Blvd,Longwood,FL,32750,USA",28.7028,-81.3415
South Orange RMC Plant,"200 Zell Drive,Orlando,FL,32824,USA",28.4499,-81.3594
Winter Garden RMC Plant,"100 N Hennis Rd,Winter Garden,FL,34787,USA",28.5653,-81.5862
Ellenton RMC Plant,"3111 17th Street E,Palmetto,FL,34221,USA",27.5242,-82.5724
Ft Myers RMC Plant,"4170 Canal Street,Fort Myers,FL,33916,USA",26.6406,-81.8723
Punta Gorda RMC Plant,"26451 Eagle Blvd,Punta Gorda,FL,33950,USA",26.9342,-82.0452
Plant City RMC Plant,"2004 East Dr. MLK Jr. Blvd.,Plant City,FL,33563,USA",28.0197,-82.1148
Ruskin RMC Plant,"515 Cameron Driggers,Ruskin,FL,33570,USA",27.7206,-82.4341
Tampa RMC Plant,"5353 W Tyson Ave,Tampa,FL,33611,USA",27.9506,-82.4987
Venice RMC Plant,"515 Gene Green Road,Nokomis,FL,34275,USA",27.1225,-82.4629
Greenbay RMC Plant,"4020 Sandmine,Davenport,FL,33897,USA",28.1612,-81.6015
Mainline RMC Plant,"8020 Mainline Parkway,Fort Myers,FL,33912,USA",26.57,-81.85
Tavares RMC Plant,"4405 Lake Industrial Boulevard,Tavares,FL,32778,USA",28.8039,-81.727
Tampa Industrial Ln RMC Plant,"7801 Industrial Lane,Tampa,FL,33637,USA",28.0564,-82.3897
Downtown Orlando RMC Plant,"420 W. Grant Street,Orlando,FL,32806,USA",28.5308,-81.388
Anderson Road RMC Plant,"7518 Anderson Road,Tampa,FL,33634,USA",27.97,-82.5267
Naples RMC Plant,"3592 Shaw Blvd.,Naples,FL,34117,USA",26.142,-81.7948
Zephyrhills RM Plant,"3870 Copeland Drive,Zephyrhills,FL,33542,USA",28.2339,-82.1815
St Cloud RM Plant,"1501 Tileston Road,Saint Cloud,FL,34771,USA",28.2489,-81.2812
Port of Tampa RMC,"4219 Maritime Blvd,Tampa,FL,33605,USA",27.929,-82.4318
Sarasota RMC Plant,"6520 33rd ST E,Sarasota,FL,34243,USA",27.37,-82.48
Haines City RMC Plant,"4807 Jahna Sand Mine Rd,Haines City,FL,33844,USA",28.1139,-81.6198
Dulles RM,"22963 Concrete Plaza,Sterling,VA,20166,USA",39.0015,-77.4088
Centreville RM,"15718 Lee Hwy,Centreville,VA,20120,USA",38.8402,-77.4297
Dumfries RM,"3454 Canal Rd,Dumfries,VA,22026,USA",38.5631,-77.33
Springfield RM,"6600 Electronic Dr,Springfield,VA,22151,USA",38.7893,-77.1877
Clear Brook RM,"1383 Brucetown Rd,Clear Brook,VA,22624,USA",39.2782,-78.0888
Stafford RM,"48 Powell Ln,Fredericksburg,VA,22406,USA",38.3032,-77.4605
Leesburg RM,"42450 Cochran Mill Rd,Leesburg,VA,20175,USA",39.1151,-77.5636
Front Royal RM,"399 Kelly Dr,Front Royal,VA,22630,USA",38.9184,-78.1947
Dulles Portable RM,"22963 Concrete Plaza,Sterling,VA,20166,USA",39.0015,-77.4088
MA RMC Portable 2,"4189 Turner Ct.,Fredericksburg,VA,22408,USA",38.3032,-77.4605
MA RMC Portable 5,"1318 Richmond Hwy.,Fredericksburg,VA,22405,USA",38.3032,-77.4605
Campostella RM,"2125 Kimball Terrace,Norfolk,VA,23504,USA",36.8508,-76.2859
Oceana RM,"160 Oceana Blvd,Virginia Beach,VA,23454,USA",36.8529,-75.978
Port Norfolk RM,"101 Chautaqua Ave,Portsmouth,VA,23707,USA",36.8354,-76.2983
Rip Rap Rd RM,"317 Rip Rap Rd,Hampton,VA,23669,USA",37.0299,-76.3452
Suffolk RM,"1408 Holland Rd,Suffolk,VA,23434,USA",36.7282,-76.5836
MA RMC Portable 3,"2125 Kimball Terrace,Norfolk,VA,23504,USA",36.8508,-76.2859
Chesterfield RM,"3500 Warbro Rd,Midlothian,VA,23112,USA",37.4957,-77.6469
Petersburg RM,"26317 Simpson Rd,North Dinwiddie,VA,23803,USA",37.12,-77.48
Oakley's RM,"4441 Oakley's Ln,Richmond,VA,23231,USA",37.5407,-77.38
Bryan Park RM,"4608 Racrete Rd,Richmond,VA,23230,USA",37.59,-77.48
Flat Rock RM,"2430 Batterson Rd,Powhatan,VA,23139,USA",37.5476,-77.9127
MA Portable 1 RM,"3501 Warboro Road,Midlothian,VA,23112,USA",37.4957,-77.6469
Clinton RM,"1395 Turkey Hwy,Clinton,NC,28328,USA",34.9979,-78.3244
Goldsboro RM,"624 Powell Road,Goldsboro,NC,27530,USA",35.3849,-77.9924
Kinston RM,"604 E. New Bern Road,Kinston,NC,28504,USA",35.2627,-77.5816
Wallace RM,"768 S.E. R/R Street,Wallace,NC,28466,USA",34.7343,-77.9963
Elizabethtown RM,"1460 Mercer Mill Road,Elizabethtown,NC,28337,USA",34.6318,-78.6049
Lumberton RM,"805 S. Roberts Avenue,Lumberton,NC,28358,USA",34.6182,-79.0086
Whiteville RM,"701 N. Whiteville Road,Whiteville,NC,28472,USA",34.3396,-78.7073
Fayetteville RM,"1309 S. Reilly Road,Fayetteville,NC,28314,USA",35.0527,-78.8784
Spring Lake RM,"545 W. Manchester Road,Spring Lake,NC,28390,USA",35.187,-78.9763
Jacksonville RM,"24 E. Thompson Street,Jacksonville,NC,28540,USA",34.754,-77.4302
Holly Ridge RM,"Hwy 50 East,Holly Ridge,NC,28445,USA",34.494,-77.5549
Hubert RM,"3248 Freedom,Hubert,NC,28539,USA",34.6807,-77.201
New Bern RM,"1300 Hwy 17 North,New Bern,NC,28560,USA",35.1085,-77.0441
Morehead City RM,"5161 Business Drive,Morehead City,NC,28557,USA",34.7232,-76.7235
Wilmington RM,"2209 Monroe Street,Wilmington,NC,28401,USA",34.2257,-77.9447
Supply RM,"150 Landfille Road,Bolivia,NC,28422,USA",34.054,-78.1509
Burgaw RM,"3464 Hwy 117 S.,Burgaw,NC,28425,USA",34.549,-77.9238
Castle Hayne RM,"5312 Holly Shelter Road,Castle Hayne,NC,28429,USA",34.3487,-77.895
Southport RM,"1619 N. Howe Street,Southport,NC,28461,USA",33.9243,-78.0169
Little River RM,"1040 Redi-Mix Road,Little River,SC,29566,USA",33.8726,-78.6136
Conway RM,"130 Winyah Road,Conway,SC,29526,USA",33.836,-79.0478
Murrells Inlet RM,"12414 Hwy 707,Murrells Inlet,SC,29576,USA",33.5534,-79.0508
Georgetown RM,"114 Ridge Street,Georgetown,SC,29440,USA",33.3765,-79.2945
RMC Unit Sofia Letishte,"Poruchik Nedelcho Bonchev str,Sofia,1528,Bulgaria",42.7076,23.4121
RMC Unit Sofia Voenna Rampa,"Probuda str. 12,Sofia,1220,Bulgaria",42.7215,23.2948
RMC Unit Sofia Voluyak,"Voluyak,Sofia,1346,Bulgaria",42.68,23.24
RMC Unit Voivodinovo,"Voivodinovo,4135,Bulgaria",42.07,24.78
RMC Unit Veliko Tarnovo,"Nikola Gabrovski bul. 73L,Veliko Tarnovo,5000,Bulgaria",43.0829,25.65
RMC Unit Sofia Letishte,"Poruchik Nedelcho Bonchev str,Sofia,1528,Bulgaria",42.7076,23.4121
RMC Unit Sofia Voenna Rampa,"Probuda str. 12,Sofia,1220,Bulgaria",42.7215,23.2948
RMC Unit Sofia Voluyak,"Voluyak,Sofia,1346,Bulgaria",42.68,23.24
RMC Unit Voivodinovo,"Voivodinovo,4135,Bulgaria",42.07,24.78
RMC Unit Veliko Tarnovo,"Nikola Gabrovski bul. 73L,Veliko Tarnovo,5000,Bulgaria",43.0829,25.65
RMC Unit Stara Zagora,"APK str.,Stara Zagora,6000,Bulgaria",42.4259,25.6345
RMC Unit Usje,"blvd. Boris Trajkovski 94,Skopje,1000,North Macedonia",41.9981,21.4254
RMC Rankovce,"Rankovce,1316,North Macedonia",42.1667,22.1167
October Central Plant,"6th October City,Giza,Egypt",29.9388,30.9306
MRM Plant,"6th October City,Giza,Egypt",29.9388,30.9306
Artova RMC,"Kizilca Mahallesi,Tokat,60670,Turkey",40.051,36.443
Sivas RMC,"Erzincan Karayolu,Sivas,58000,Turkey",39.7477,37.0179
Tokat RMC,"Yeni Yurt Mah.,Tokat,60030,Turkey",40.3167,36.55
Γ‡orum RMC,"Mimar Sinan Mahallesi,Corum,19000,Turkey",40.5506,34.9556
Silver Sand - Clermont,"16375 Hartwood Marsh Rd,Clermont,FL,34711,USA",28.5016,-81.7047
Silver Sand - Jacksonville,"7330 Philips Highway,Jacksonville,FL,32256,USA",30.22,-81.58
S&W Hauling,"1395 Turkey Highway,Clinton,NC,28328,USA",34.9979,-78.3244
Distribution center Heraklion,"Linoperamata,Heraklion Crete,71500,Greece",35.3387,25.09
Jacksonville Cem & Agg Distr,"7330 Philips Highway,Jacksonville,FL,32256,USA",30.22,-81.58
Tampa Terminal,"4219 Maritime Blvd,Tampa,FL,33605,USA",27.929,-82.4318
Edgewater Terminal,"200 N Flagler Ave,Edgewater,FL,32132,USA",28.9864,-80.8992
Orlando Cement Terminal,"410 W Kaley,Orlando,FL,32806,USA",28.5308,-81.388
Melbourne Aggregate Distr,"2575 N Avocado Ave,Melbourne,FL,32935,USA",28.0836,-80.6081
Ft Pierce Cem & Agg Distr,"4199 Selvitz Rd,Fort Pierce,FL,34981,USA",27.4467,-80.3256
Port Everglades,"1850 Eller Drive,Fort Lauderdale,FL,33316,USA",26.098,-80.116
CY Tampa Aggregate Dist,"4800 Cone Road,Tampa,FL,33610,USA",28.01,-82.42
St Augustine Distr,"154 Concourse Drive,Elkton,FL,32033,USA",29.7834,-81.4151
Cocoa Cem & Agg Distr,"317 Rosa L Jones Drive,Cocoa,FL,32922,USA",28.3861,-80.742
National Gardens Terminal,"1080 Broadway Ave.,Ormond Beach,FL,32174,USA",29.2861,-81.0558
TECO Cement Distribution,"13151 Wyandotte Road,Gibsonton,FL,33534,USA",27.844,-82.3748
Riviera Aggregate Terminal,"1490 Martin Luther King Blvd.,Riviera Beach,FL,33404,USA",26.7762,-80.0581
Ustone Cement Terminal,"9870 NW 117th Way,Medley,FL,33178,USA",25.8201,-80.3442
Pennsuco Ash Terminal,"11000 NW 121st Way,Medley,FL,33178,USA",25.8201,-80.3442
Tampa Ash Terminal,"4219 Maritime Blvd,Tampa,FL,33605,USA",27.929,-82.4318
Ft Lauderdale Ash Terminal,"890 SW 21st Street,Fort Lauderdale,FL,33312,USA",26.1224,-80.1498
Cocoa Ash Terminal,"317 Rosa L Jones Drive,Cocoa,FL,32922,USA",28.3861,-80.742
Bristol Cement Terminal,"10 Spurgeon Ln,Bristol,VA,24201,USA",36.5951,-82.1882
Richmond Cement Terminal,"2800 N. Hopkins Rd,Richmond,VA,23225,USA",37.5407,-77.436
Front Royal Cement Terminal,"33 Prezanis Rd,Front Royal,VA,22630,USA",38.9184,-78.1947
Norfolk Cement Terminal,"1332 Priority Ln,Chesapeake,VA,23324,USA",36.7682,-76.2875
Winston-Salem Cement Terminal,"3651 Penn Ave,Winston Salem,NC,27105,USA",36.0999,-80.2442
Selma Cement Terminal,"404 E. Preston St,Selma,NC,27576,USA",35.5385,-78.281
Wilmington Cement Terminal,"6411 Ideal Cement Rd,Castle Hayne,NC,28429,USA",34.3487,-77.895
Not Used,USA,,
Charlotte Transloading,"2820 Nevada Blvd,Charlotte,NC,28273,USA",35.2271,-80.8431
Fuquay Varina Cement Terminal,"9029 US 401 N,Fuquay Varina,NC,27526,USA",35.5843,-78.8
RCC Elizabeth Transload,"123 Dowd Avenue,Elizabeth,NJ,07206,USA",40.664,-74.2107
Norfapeake Terminal LLC,"1331 Priority Lane,Chesapeake,VA,23324,USA",36.7682,-76.2875
Essex Cement Terminal,"182 Calcutta Rd,Newark,NJ,07114,USA",40.7357,-74.1724
Riverside Essex Terminal,"7900 N. Radcliffe Drive,Bristol,PA,19007,USA",40.1015,-74.8521
